Deposit/Project Name,Country,Primary Mineral deposit Type,Secondary Mineral deposit Type,Other Mineral deposit Type,Min. ResC Mt,Min. ResV Mt,Min. ResC Cu %,Min. ResV Cu %
Chillagoe-Griffiths Hill,Australia,Skarn,,,1.05288,,3.1,
Chillagoe-King Vol,Australia,Skarn,,,2.99,,0.8,
Chillagoe-Red Dome,Australia,Skarn,,,131.0,,0.21,
Chillagoe-Mungana/Mungana Deeps,Australia,Skarn,,,0.456,0.254,1.821491228,1.6
Chillagoe-Orient,Australia,Skarn,,,0.539,,0.9083487941,
Chillagoe-Red Cap (Penzance-Queenslader-Morrisons),Australia,Skarn,,,3.813,,0.7,
Chillagoe-Victoria Main/South,Australia,Skarn,,,3.436641,,1.0,
Chinaman's Creek,Australia,Porphyry,,,200.0,,0.2,
Chunderloo North,Australia,Orogenic Au,,,0.022,,1.6,
Citadel,Australia,Intrusion-Related Au,,,47.8,,0.17,
Cleveland-Luina,Australia,Skarn?,,,7.41,,0.249851552,
Cleveland-Luina Tailings,Australia,Tailings,Skarn?,,3.85,3.7,0.13,0.13
Coalstoun Lakes,Australia,Porphyry,,,26.86,,0.38,
Cobar-CSA,Australia,Orogenic Au,Slate belt Au,,11.9,5.8,5.652941176,4.25
Conrad-Kind Conrad-Greisen,Australia,Skarn,,,3.130401,,0.1780049074,
Copernicus,Australia,Magmatic Sulphide,Layered Intrusive,,0.717,0.172,0.8587029289,0.74
Copper Hill,Australia,Porphyry,Au,,86.0,,0.3637209302,
Corkwood,Australia,Magmatic Sulphide,Proterozoic Tholeiitic,,0.225,,0.25,
Cowley Hills,Australia,VMS,,,0.3,,2.2,
Daly River Anomaly A,Australia,VMS,,,0.762,,1.77,
Deflector,Australia,Orogenic Au?,,,2.865,1.781,0.9,0.9
Develin Creek-Rookwood/Foresthome,Australia,VMS,,,1.75,,1.71,
Dimbulah,Australia,Porphyry,,,20.0,,0.25,
Doolgunna-DeGrussa-Conductor,Australia,VMS,,,12.4,10.6,4.7,3.5
Dugald River (Cu only),Australia,Sediment-hosted Pb-Zn,Sedex,Shale-hosted,4.4,,1.8,
Duketon-C2,Australia,Magmatic Sulphide,Archean komatiite,,18.775665,,0.028571428571428574,
Duketon-South Boulder (Rosie),Australia,Magmatic Sulphide,Archean komatiite,,1.94,,0.4,
E1 Camp,Australia,IOCG,Cloncurry-type,,10.5,,0.7338095238,
Eastman,Australia,VMS,,,3.4,,0.656,
"Einasleigh Group (Cu, PbZnCu)",Australia,Skarn?,,,21.7,,0.7776497696,
Elaine,Australia,IOCG,Cloncurry-type,,64.34,,0.34,
Eloise,Australia,IOCG,Cloncurry-type,,3.216,,3.087562189,
Emull-Lamboo,Australia,VMS,,,4.7,,0.33,
Endeavor (Elura),Australia,Sediment-hosted Pb-Zn,,,13.9001184,1.5903216,0.18,0.2
Ernest Henry,Australia,IOCG,Cloncurry-type,,96.1,57.9,1.168772112,1.06
Explorer 108,Australia,Sediment-hosted Pb-Zn,Sedex?,,11.87,,0.36,
Explorer 142,Australia,IOCG,,,0.1756,,5.21,
Flamingo Group,Australia,IOCG,Cloncurry-type,,0.117,,6.0,
Florence Bore North / South,Australia,IOCG?,Cloncurry-type,,1.61,,0.77,
Gabanintha (CuAu),Australia,Orogenic Au?,,,0.45,,0.5,
Gem,Australia,IOCG,Cloncurry-type,,0.492,,0.5,
Girilambone Group,Australia,VMS,,,9.74,5.061,1.571047228,1.513396562
Golden Grove,Australia,VMS,,,25.4,5.0,2.229527559,1.864
Great Australia,Australia,IOCG,Cloncurry-type,,2.2,,1.54,
Great Southern Group,Australia,Orogenic Au,,,17.834,8.014,0.7148480431,0.8364362366
Greater Whitewash,Australia,Porphyry,Cu-Mo,,242.0,,0.1173,
Hellyer Tailings,Australia,Tailings,VMS,,9.5,,0.2,
Hera,Australia,Orogenic Au,Slate belt Au,,2.506,1.503271,0.15,0.16
Hillside,Australia,IOCG,Olympic Dam-type?,,337.0,82.0,0.6,0.62
Home of Bullion,Australia,VMS,,,0.1206576,,14.73684211,
Horseshoe (QLD),Australia,IOCG,Cloncurry-type,,0.96,,1.5,
Horseshoe Lights (incl. Stockpiles),Australia,VMS,includes Stockpiles,,13.093,,1.001855954,
Horseshoe Lights Tailings,Australia,Tailings,VMS,,1.421,,0.48,
Ilgarari,Australia,VMS,,,1.108,,1.89,
Iron Blow-Burnside,Australia,VMS,,,2.6,,0.3,
Jervois (all),Australia,Sediment-hosted Pb-Zn/VMS,,,30.5,,1.070163934,
John Fardy-Peelwood North/South,Australia,VMS,,,0.895,,0.8,
Julivon Creek,Australia,Porphyry,,,35.0,,0.16,
Juno (Tennant Creek),Australia,IOCG,Cu-Au,,1.04,,0.5,
Just Desserts (Yuinmery),Australia,VMS,,,2.343,,1.23,
Kalkaroo,Australia,IOCG,Cloncurry-type,,124.51,,0.4982876877,
Kalman,Australia,IOCG,Cloncurry-type,,30.0,,0.54,
Kambalda Field,Australia,Magmatic Sulphide,,,22.6024,1.343,0.2,0.2
Kangaroo Rat,Australia,IOCG?,Cloncurry-type?,,1.257,,1.29,
Kangiara,Australia,Porphyry,,,2.75,,0.18,
Kanmantoo,Australia,VMS,,,21.937,22.1,0.8440894379,0.71
Khamsin,Australia,IOCG,Olympic Dam-type,,202.0,,0.6,
Khans Creek,Australia,VMS,,,0.05,,1.0,
Kiwi Carpet,Australia,Porphyry,,,200.0,,0.15,
Koonenberry-Grasmere,Australia,VMS,,,5.75,,1.03,
Koongie Park (Sandiego-Onedin),Australia,VMS,,,7.987,,1.171012896,
Kroombit (Zn/Cu),Australia,VMS?,,,6.06,,0.2763036304,
Kumarina-Rinaldi,Australia,VMS,,,0.836,,1.284485646,
Lady Annie,Australia,Sediment-hosted Pb-Zn,Sedex?,clastic-hosted?,62.3,3.37,0.7,0.63
Leadville (Mount Stewart),Australia,Sediment-hosted Pb-Zn,,,2.2,,0.07,
Lennons Find,Australia,VMS,,,1.79,,0.1893854749,
Lewis Ponds,Australia,VMS,,,6.62,,0.2,
Liberty-Indee (Evelyn),Australia,VMS,,,0.657,,1.8,
Limonite Hill,Australia,Porphyry,,,100.0,,0.3,
Lorna Doone-Lynda,Australia,Sediment-hosted Stratiform/Stratabound Cu,,,1.84,,0.7336956522,
Magnum,Australia,Intrusion-Related Au,,,16.1,,0.36,
Magpie,Australia,VMS,,,0.25,,2.0,
Maitland,Australia,Skarn?,,,1.49,,1.5,
Manindi (Freddie Wells),Australia,VMS,,,1.668172,,0.23,
Maroochydore-Broadhurst,Australia,Sediment-hosted Stratiform/Stratabound Cu,,,48.63,,0.99,
Marsden,Australia,Porphyry,Cu-Au,,175.0,,0.382,
Mayfield,Australia,Skarn,,,4.9,,0.3448979592,
McPhillamys,Australia,Porphyry,,,73.2,,0.07,
Merlin,Australia,IOCG,Cloncurry-type,,6.7,,0.3332835821,
Mineral Hill Group,Australia,VMS?,,,4.943,,1.325025288,
Monakoff,Australia,IOCG,Cloncurry-type,,2.5,,0.944,
Mons Cupri,Australia,VMS,,,4.607,0.951,0.9,0.9
Mount Abbot,Australia,Porphyry,,,200.0,,0.15,
Mount Angelo North,Australia,Porphyry,Porphyry Cu-Au-Pb-Zn,,0.29,,1.903448276,
Mount Angelo Porphyry,Australia,Porphyry,Porphyry Cu-Au-Pb-Zn,,19.0,,0.44,
Mount Ararat,Australia,VMS,,,1.32,,2.0,
Mount Bonnie,Australia,VMS,,,1.285,,0.26,
Mount Cannindah,Australia,Porphyry,Cu,,7.47,,0.97,
Mount Carlton,Australia,Epithermal,High sulphidation,,8.82,4.45,0.3,0.3
Mount Chalmers,Australia,VMS,,,3.56,,1.2,
Mount Colin,Australia,IOCG?,Cloncurry-type,,1.922,,2.59,
Mount Dore,Australia,IOCG,Cloncurry-type,,110.8,,0.55,
Mount Elliott-Swan,Australia,IOCG,Cloncurry-type,,375.1,,0.540543855,
Mount Fitch,Australia,Unconformity-related Uranium,,,2.5,,0.8304,
Mount Garnet,Australia,Skarn,,,0.416677,,0.4,
Mount Gordon,Australia,Sediment-hosted Stratiform/Stratabound Cu?,,,185.27,3.6,1.26,2.2
Mount Gunson Group,Australia,Sediment-hosted Stratiform/Stratabound Cu,Cu-Co-Ag,,45.35,,1.18522602,
Mount Gunson Tailings,Australia,Tailings,Sediment-hosted Stratiform/Stratabound Cu,,7.2,,0.14,
Mount Isa (Cu),Australia,Sediment-hosted Pb-Zn,Sedex,clastic-hosted,72.6,29.6,2.224504132,2.216790541
Mount Isa (Cu) (Open Cut),Australia,Sediment-hosted Pb-Zn,Sedex,clastic-hosted,268.0,,1.123656716,
Mount Leslie,Australia,Porphyry,,,20.0,,0.2,
Mount Lyell,Australia,VMS,,,51.6,,1.071589147,
Mount Mulcahy (South Limb),Australia,VMS,,,0.647232,,2.35,
Mount Oxide,Australia,Sediment-hosted Stratiform/Stratabound Cu?,,,16.0,,1.4,
Mount Pleasant,Australia,Skarn,,,0.264,,4.162424242,
Mount Unicorn,Australia,Porphyry,Mo-Cu-Ag,,203.0,,0.05,
Mountain of Light-Lyndhurst,Australia,IOCG?,,,0.928,,0.8231034483,
Mulga Rock East (Princess-Ambassador),Australia,Unconformity-related Uranium,,,31.9,,0.027,
Mulgul-Jillawarra (Abra),Australia,VMS,,,107.0,,0.188,
Munni Munni,Australia,Magmatic Sulphide,Layered Intrusive,Stratiform Reef,23.6,,0.14754237288135594,
Murchison,Australia,VMS,,,0.45,,0.524,
Muturoo,Australia,VMS?,Shear-hosted Cu,,13.127,,1.481337701,
Napier Range-Wagon Pass,Australia,Sediment-hosted Pb-Zn,MVT,,0.59,,0.5,
Nanadie Well,Australia,Magmatic Sulphide,Intrusion-related,,36.07,,0.42,
Nifty,Australia,VMS?,,,33.96,8.69,1.82,1.94
Nightflower-Digger Lode,Australia,VMS,,,0.215534,,0.15,
North Portia,Australia,IOCG?,Cloncurry-type,,11.36,,0.8863116197,
Northparkes ,Australia,Porphyry,Cu-Au,,344.02,56.02,0.6080618443,0.7557951482
Nova-Bollinger,Australia,Magmatic Sulphide,Proterozoic Komatiite-related?,"Not a typical deposit. Maybe more ""gabbro-related"" than Komatiite-related. Certainly proterozoic",14.3,13.1,0.9,0.9
Nymagee,Australia,Orogenic Au,Slate belt Au,,8.096,,1.2,
O'Callaghans,Australia,Skarn,,,78.0,47.0,0.2842307692,0.28
Olympic Dam,Australia,IOCG,Olympic Dam-type,,10060.0,528.0,0.7797117296,1.87
Osborne-Kulthor,Australia,Skarn,,Note no longer considered an IOCG,11.848223,,1.36620438,
Overlander North/South,Australia,IOCG,,,1.772,,1.2,
Panorama-Kangaroo Caves,Australia,VMS,,,3.55,,0.8,
Panorama-Sulphur Springs,Australia,VMS,,,12.831,7.2,1.5,1.8
Panton,Australia,Magmatic Sulphide,Layered Intrusive,,14.320000000000002,,0.07544692737430167,
Pardoo-Highway,Australia,Magmatic Sulphide,Layered Intrusive,,44.7,,0.13,
Peak (NSW),Australia,Orogenic Au,Slate belt Au,,8.97,2.87,1.140055741,1.29
Peak Hill (NSW),Australia,Porphyry,Au-Cu,,11.27,,0.11,
Princess Royal,Australia,Sediment-hosted Stratiform/Stratabound Cu?,"Carbonate hosted, not sure of type",,0.286757,,0.81,
Prominent Hill,Australia,IOCG,Olympic Dam-type,,179.0,73.0,1.0,1.0
Prospect D,Australia,Magmatic Sulphide,,,3.1638,,0.5647188191,
Quartz Circle-Igloo,Australia,VMS,,,0.093,,2.92,
Que River-Fossey-Hellyer,Australia,VMS,,,1.845,,0.6658536585,
Quinns-Austin,Australia,VMS,,,1.484422,,1.02236519,
Radio Hill-Sholl,Australia,Magmatic Sulphide,Archean Tholeiitic,Pilbara,12.97,,0.71,
Range & Turtle/Copper Ridge,Australia,Epithermal,Low sulphidation?,,0.091,,2.0,
Red Bore,Australia,VMS,,,0.048,,3.6,
Redbank,Australia,IOCG,Olympic Dam-type,,6.268,,1.533238673,
Renison Bell,Australia,Skarn,,,12.875,6.673,0.3057545631,0.2760497527
Renison Bell Tailings,Australia,Tailings,Skarn,,21.842,20.965,0.24,0.22
Ridgeway,Australia,Porphyry,Au-Cu,,151.92,82.0,0.326866772,0.29
Rocklands,Australia,Porphyry,,,600.0,,0.09596666667,
Rosebery-South Hercules,Australia,VMS,,,22.6,7.4,0.2982300885,0.2
Roseby Group,Australia,VMS,Sediment-hosted Stratiform/Stratabound Cu?,,286.8,74.7,0.57,0.5
Rover 1,Australia,IOCG,,,6.814,,1.2,
Ruddygore,Australia,Porphyry,,,10.0,,0.4,
Salt Creek,Australia,VMS,,,1.003,,2.0,
Savannah-Sally Malay,Australia,Magmatic Sulphide,Stratabound Contact-type,Layered Intrusion,7.333,3.204,0.8476380745,0.7293695381
Spinifex Ridge (Coppin Gap),Australia,Porphyry,Mo,,1051.289,,0.0746972119,
Starra Line (222-276),Australia,IOCG,Cloncurry-type,,8.9,0.854,1.115955056,1.52
Stockman (Currawong-Wilga),Australia,VMS,,,14.0,8.4,2.1,2.3
Struck Oil,Australia,Porphyry,,,10.0,,0.4,
Stuart,Australia,IOCG,Cloncurry-type,,2.3,,0.8,
Succoth,Australia,Magmatic Sulphide,Intrusion-related,,156.0,,0.6,
Sunny Corner,Australia,VMS,,,1.5,,0.39,
Taipan,Australia,IOCG,Cloncurry-type,,1.46,,0.8,
Tally Ho,Australia,Orogenic Au?,,,0.733,,0.1,
Telfer Group,Australia,Intrusion-Related Au?,,,360.437,149.0,0.1551018403,0.1032112676
Temora (porphyry),Australia,Porphyry,,,279.0,,0.3,
Temora-Gidginbung,Australia,Epithermal,High sulphidation,,23.8,,0.1,
Teutonic Bore,Australia,VMS,,,4.409,,1.6,
Texas-Silver Spur,Australia,Epithermal,,,8.626,,0.1307038228,
Thaduna-Green Dragon (incl. Stockpiles),Australia,VMS,includes Stockpiles,,4.535,,2.700361632,
Thalanga Group,Australia,VMS,,,3.755237,0.379,0.9634972972,1.6
Thomson River (Walhalla),Australia,Magmatic Sulphide,Intrusion-related,,0.04,,2.7,
Thursdays Gossan,Australia,Porphyry,,,28.1,,0.4,
Tottenham,Australia,VMS?,,,6.991,,1.2,
Tritton-Budgerygar-Budgery,Australia,VMS,,,14.183,4.431,1.623633928,1.703610923
Trough Well,Australia,Magmatic Sulphide,Archean komatiite,,0.02,,0.15,
Turner River (Orchard Tank-Discovery),Australia,VMS,,,2.92,,0.08698630137,
Turpentine (Hazel Creek),Australia,IOCG,Cloncurry-type,,1.84,,1.03,
Victory-Flagship,Australia,IOCG,Cloncurry-type,,0.196,,1.2,
Walford Creek,Australia,Sediment-hosted Pb-Zn,Sedex?,,73.3,,0.4,
Webbs,Australia,Epithermal,,,1.49,,0.27,
Wellington-Galwadgere,Australia,VMS?,,,2.09,,0.99,
West Musgrave (Nebo-Babel),Australia,Magmatic Sulphide,Flood Basalt-related,,203.1,,0.42,
Whim Creek,Australia,VMS,,,0.972,0.221,2.1,2.7
White Range Group,Australia,IOCG?,Cloncurry-type,,28.0,,0.8668571429,
Whundo (Ayshia),Australia,VMS,,,2.875,,0.6672765217,
Wildara-Horn,Australia,Magmatic Sulphide,Archean Komatiite,,0.6,,0.3,
Woodlawn,Australia,VMS,,,6.4133,,1.921769448,
Woodlawn Tailings,Australia,Tailings,VMS,,10.94,,0.5059414991,
Yeoval,Australia,Porphyry,Cu,,12.9,,0.38,
Yeppoon,Australia,Porphyry,Cu,,50.0,,0.3,
Filizchay (Filizchai),Azerbaijan,Sediment-hosted Pb-Zn,Sedex,,95.0,,0.59,
Gedabek (Kedabek),Azerbaijan,Epithermal,High sulphidation,may be linked to a porphyry,18.327024,18.327024,0.5,0.5
Herzogenhugel,Belgium,Porphyry,,,20.0,,0.17,
Avaroa,Bolivia,Sediment-hosted Stratiform/Stratabound Cu,,,0.43,,4.9,
Don Mario-UMZ-LMZ-Cerro Felix,Bolivia,IOCG,,,6.165,0.58,1.022351987,0.8909655172
Malku Khota,Bolivia,Sediment-hosted Pb-Zn,Sedex,,1239.552114,,0.01465031292,
Uyuni,Bolivia,Sediment-hosted Stratiform/Stratabound Cu,,,0.39,,0.79,
Turco,Bolivia,Sediment-hosted Stratiform/Stratabound Cu,,,0.14,,2.1,
Veovara,Bosnia,Sediment-hosted Pb-Zn,Sedex,,8.0,,0.14,
Bushman Group,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,13.0,,3.85,
Corner K-Mahumo,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,9.8,,0.9,
Dikoloti,Botswana,Magmatic Sulphide,Intrusive,Poorly characterised,4.1,,0.5,
Ghanzi-Banana,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,351.8,,0.5462251279,
Mowana,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,131.017286,8.227286,0.6575156996,1.23979189
Nakalakwana Hill,Botswana,IOCG,,,33.7,,0.39,
NE Mango 1-2 / Boseto,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,33.3,,1.285585586,
Ngwako Pan,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,80.0,,2.0,
Ophion,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,14.0,,1.0,
Plutus,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,81.7,6.6,1.31,1.2
Selebi-Phikwe,Botswana,Magmatic Sulphide,Intrusive,Poorly characterised,93.874491,54.447876,0.77,0.68
Selene,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,16.0,,1.0,
Target 3-T3,Botswana,Sediment-hosted Stratiform/Stratabound Cu,Vein-hosted,,28.358,,1.233918471,
Tati-Phoenix,Botswana,Magmatic Sulphide,Intrusive,Poorly characterised,107.556,,0.1695659935,
Tati-Selkirk,Botswana,Magmatic Sulphide,Layered Intrusive,Poorly characterised,135.3,,0.2725055432,
Thakadu (Matsitama-Makala),Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,10.391,2.77,1.678309114,2.15
Zeta-Zeta NE,Botswana,Sediment-hosted Stratiform/Stratabound Cu,,,30.5,8.6,1.517180328,1.3
Zone 5,Botswana,Sediment-hosted Stratiform/Stratabound Cu,Cu-Au-Ag,,100.3,,1.95,
Alvo 118,Brazil,IOCG,,,170.0,,1.0,
Americano do Brasil,Brazil,Magmatic Sulphide,,,5.0,,0.65,
Antas North/South,Brazil,IOCG,Unclassified,,16.46,3.626,1.430789793,2.526362383
Aripuanã (Ambrex-Arex),Brazil,VMS,,,46.051916,,0.31,
Bico de Pedra,Brazil,VMS,,,0.03,,0.36,
Bom Jardim de Goiás,Brazil,Epithermal,,,4.57566,,0.92,
Breves,Brazil,Porphyry?,Intrusion-related,,50.0,,1.22,
Caçapava do Sul (Cu only),Brazil,Sediment-hosted Pb-Zn,,,21.36,,0.1048127341,
Centro 118,Brazil,IOCG?,,,70.0,,0.7,
Chapada,Brazil,Porphyry,Cu-Au,,783.9659,520.651,0.2630145342,0.2650686544
Cristalino,Brazil,IOCG,Unclassified,,375.0,,0.64,
Estrela,Brazil,IOCG,,,30.0,,0.5,
Gamaleira,Brazil,IOCG,,,100.0,,0.77,
Igarapé Bahia/Alemão,Brazil,IOCG,Olympic Dam-type,,219.0,,1.4,
Liberdade,Brazil,IOCG,,,242.0,,0.77,
Limoeiro,Brazil,Magmatic Sulphide,Intrusive,,35.0,,0.27,
Mirabela-Santa Rita,Brazil,Magmatic Sulphide,Stratabound Stratiform Disseminations,,135.739442,95.986442,0.1512010356,0.1516984472
Ouro Paz-Pé Quente,Brazil,Epithermal,,,9.44,,0.09943114407,
Palmeirópolis,Brazil,VMS,,,6.89032,,0.9306557605,
Pedra Branca (Cu),Brazil,IOCG,,,46.82,,0.33,
Pedra Branca (PGEs),Brazil,Magmatic Sulphide,Stratabound Stratiform Reef-type,,12.941176470588234,,0.03,
Pedra Verde,Brazil,Sediment-hosted Stratiform/Stratabound Cu,,,11.4,,1.0,
Salobo,Brazil,IOCG,Cloncurry-type,,1156.8,1156.8,0.67,0.67
Santa Maria,Brazil,Epithermal,Low sulphidation,,5.0,,0.66,
Serrote da Laje-Caboclo (Rogerio-Zeze),Brazil,Skarn,,,179.3704,85.471,0.4771573649,0.52
Sossego,Brazil,IOCG,Unclassified,,117.8,117.8,0.67,0.67
Assarel,Bulgaria,Porphyry,,,143.0,,0.43,
Chelopech,Bulgaria,Epithermal,High sulphidation,,38.5,21.5,0.9755844156,0.94
Davidkovo,Bulgaria,Skarn,,,12.4,,0.1365322581,
