row index,2013,,Primary Deposit Type,Secondary Deposit Type, (1),Company,Source,Mt ore,Column 9,Column 10
14,Armanis-Sagamar,Armenia,VMS,,NC,Global Metals,Website (2016-05-01),,g/t Ag,10.0
14,Armanis-Sagamar,Armenia,VMS,,NC,Global Metals,Website (2016-05-01),,%Cu,0.9
14,Armanis-Sagamar,Armenia,VMS,,NC,Global Metals,Website (2016-05-01),,g/t Au,0.9
16,Shamlugh,Armenia,VMS,,NC,unknown,Calder et al (2014),4.5,%Pb,1.71
16,Shamlugh,Armenia,VMS,,NC,unknown,Calder et al (2014),4.5,%Zn,4.96
16,Shamlugh,Armenia,VMS,,NC,unknown,Calder et al (2014),4.5,g/t Ag,8.1
16,Shamlugh,Armenia,VMS,,NC,unknown,Calder et al (2014),4.5,%Cu,3.54
17,Marjan,Armenia,Epithermal,Low sulfidation,NC,Global Gold Corp,Website (2014-08-11),15.4,%Pb,1.1
17,Marjan,Armenia,Epithermal,Low sulfidation,NC,Global Gold Corp,Website (2014-08-11),15.4,%Zn,1.21
17,Marjan,Armenia,Epithermal,Low sulfidation,NC,Global Gold Corp,Website (2014-08-11),15.4,g/t Ag,92.1
17,Marjan,Armenia,Epithermal,Low sulfidation,NC,Global Gold Corp,Website (2014-08-11),15.4,%Cu,0.8
17,Marjan,Armenia,Epithermal,Low sulfidation,NC,Global Gold Corp,Website (2014-08-11),15.4,g/t Au,2.31
18,Admiral Bay,Australia,Sediment-hosted Pb-Zn,MVT,C,Kagara,Ann Rep 2011,96.7,%Pb,2.9
18,Admiral Bay,Australia,Sediment-hosted Pb-Zn,MVT,C,Kagara,Ann Rep 2011,96.7,%Zn,2.4
18,Admiral Bay,Australia,Sediment-hosted Pb-Zn,MVT,C,Kagara,Ann Rep 2011,96.7,g/t Ag,15.0
18,Admiral Bay,Australia,Sediment-hosted Pb-Zn,MVT,C,Kagara,Ann Rep 2011,96.7,%Ba,16.0
19,Allison's Lode,Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),0.056719,%Pb,1.22
19,Allison's Lode,Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),0.056719,%Zn,4.41
19,Allison's Lode,Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),0.056719,g/t Ag,32.7
20,Altia,Australia,Sediment-hosted Pb-Zn,Sedex,C,Breakaway Resources (now Minotaur Exploration),Ann Rep 2012,5.8,%Pb,4.0
20,Altia,Australia,Sediment-hosted Pb-Zn,Sedex,C,Breakaway Resources (now Minotaur Exploration),Ann Rep 2012,5.8,%Zn,0.5
20,Altia,Australia,Sediment-hosted Pb-Zn,Sedex,C,Breakaway Resources (now Minotaur Exploration),Ann Rep 2012,5.8,g/t Ag,40.0
21,Anaconda,Australia,VMS,,C,Glencore (?),Minedex (2013-05-05),0.876831,%Zn,1.97
21,Anaconda,Australia,VMS,,C,Glencore (?),Minedex (2013-05-05),0.876831,g/t Ag,6.0
21,Anaconda,Australia,VMS,,C,Glencore (?),Minedex (2013-05-05),0.876831,%Cu,0.96
22,Angas,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,0.91,%Pb,1.7
22,Angas,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,0.91,%Zn,4.2
22,Angas,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,0.91,g/t Ag,31.059375124956194
22,Angas,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,0.91,%Cu,0.22
22,Angas,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,0.91,g/t Au,0.5
23,Area 55,Australia,Magmatic sulfide,Sediment-hosted polymetallic,C,Hunnan Australia Resources,Ann Rep 2007 (Compass Res.),12.2,%Pb,0.56
23,Area 55,Australia,Magmatic sulfide,Sediment-hosted polymetallic,C,Hunnan Australia Resources,Ann Rep 2007 (Compass Res.),12.2,%Cu,0.49
23,Area 55,Australia,Magmatic sulfide,Sediment-hosted polymetallic,C,Hunnan Australia Resources,Ann Rep 2007 (Compass Res.),12.2,%Ni,0.14
23,Area 55,Australia,Magmatic sulfide,Sediment-hosted polymetallic,C,Hunnan Australia Resources,Ann Rep 2007 (Compass Res.),12.2,%Co,0.14
24,Balcooma Group,Australia,VMS,,C,Kagara,Ann Rep 2011,2.976637,%Pb,2.1415765161813343
24,Balcooma Group,Australia,VMS,,C,Kagara,Ann Rep 2011,2.976637,%Zn,5.057954659593077
24,Balcooma Group,Australia,VMS,,C,Kagara,Ann Rep 2011,2.976637,g/t Ag,39.29066376374061
24,Balcooma Group,Australia,VMS,,C,Kagara,Ann Rep 2011,2.976637,%Cu,1.5926444352859215
24,Balcooma Group,Australia,VMS,,C,Kagara,Ann Rep 2011,2.976637,g/t Au,0.40780120508843704
25,Bali Hi,Australia,Epithermal,Low sulfidation?,C,Artemis Resources (?),Minedex (2013-05-05),0.095,%Pb,2.08
25,Bali Hi,Australia,Epithermal,Low sulfidation?,C,Artemis Resources (?),Minedex (2013-05-05),0.095,g/t Au,0.2
26,Barrow Creek-Home of Bullion,Australia,VMS,,C,Kidman Resources,Ann Rep 2015,2.5,%Pb,1.2
26,Barrow Creek-Home of Bullion,Australia,VMS,,C,Kidman Resources,Ann Rep 2015,2.5,%Zn,2.0
26,Barrow Creek-Home of Bullion,Australia,VMS,,C,Kidman Resources,Ann Rep 2015,2.5,g/t Ag,36.0
26,Barrow Creek-Home of Bullion,Australia,VMS,,C,Kidman Resources,Ann Rep 2015,2.5,%Cu,1.8
26,Barrow Creek-Home of Bullion,Australia,VMS,,C,Kidman Resources,Ann Rep 2015,2.5,g/t Au,0.14
27,Belara,Australia,VMS,,C,Ironbark Zinc,Website (2013-03-22),2.545049,%Pb,1.1
27,Belara,Australia,VMS,,C,Ironbark Zinc,Website (2013-03-22),2.545049,%Zn,3.75
27,Belara,Australia,VMS,,C,Ironbark Zinc,Website (2013-03-22),2.545049,g/t Ag,39.61
27,Belara,Australia,VMS,,C,Ironbark Zinc,Website (2013-03-22),2.545049,%Cu,0.4
28,Bentley,Australia,VMS,,C,Independence Group,Ann Rep 2013,2.771,%Zn,9.6
28,Bentley,Australia,VMS,,C,Independence Group,Ann Rep 2013,2.771,g/t Ag,139.0
28,Bentley,Australia,VMS,,C,Independence Group,Ann Rep 2013,2.771,%Cu,1.9
28,Bentley,Australia,VMS,,C,Independence Group,Ann Rep 2013,2.771,g/t Au,0.8
29,Bowdens,Australia,Epithermal,Low sulfidation,C,Kingsgate Consolidated,Ann Rep 2013,88,%Pb,0.29
29,Bowdens,Australia,Epithermal,Low sulfidation,C,Kingsgate Consolidated,Ann Rep 2013,88,%Zn,0.39
29,Bowdens,Australia,Epithermal,Low sulfidation,C,Kingsgate Consolidated,Ann Rep 2013,88,g/t Ag,47.4
30,Broken Hill (Aust),Australia,Sediment-hosted Pb-Zn,Sedex,C,Perilya Mines,media (2012-12-28),21.7,%Pb,7.0
30,Broken Hill (Aust),Australia,Sediment-hosted Pb-Zn,Sedex,C,Perilya Mines,media (2012-12-28),21.7,%Zn,9.2
30,Broken Hill (Aust),Australia,Sediment-hosted Pb-Zn,Sedex,C,Perilya Mines,media (2012-12-28),21.7,g/t Ag,89.0
31,Broken Hill (Aust)-Rasp,Australia,Sediment-hosted Pb-Zn,Sedex,C,Toho Zinc,Ann Rep 2009 (CBH),16.503,%Pb,5.147355026358843
31,Broken Hill (Aust)-Rasp,Australia,Sediment-hosted Pb-Zn,Sedex,C,Toho Zinc,Ann Rep 2009 (CBH),16.503,%Zn,6.60997394413137
31,Broken Hill (Aust)-Rasp,Australia,Sediment-hosted Pb-Zn,Sedex,C,Toho Zinc,Ann Rep 2009 (CBH),16.503,g/t Ag,89.09580076349754
32,Browns Reef,Australia,Orogenic Au,,C,Comet Resources,Ann Rep 2007,20.5,%Pb,1.1
32,Browns Reef,Australia,Orogenic Au,,C,Comet Resources,Ann Rep 2007,20.5,%Zn,2.0
32,Browns Reef,Australia,Orogenic Au,,C,Comet Resources,Ann Rep 2007,20.5,g/t Ag,9.0
32,Browns Reef,Australia,Orogenic Au,,C,Comet Resources,Ann Rep 2007,20.5,%Cu,0.1
33,Brown's-Brown's East,Australia,Sediment-hosted polymetallic,,C,HNC Australia Resources,NT DME Fact Sheet 2013-09,54.5,%Pb,3.094935779816514
33,Brown's-Brown's East,Australia,Sediment-hosted polymetallic,,C,HNC Australia Resources,NT DME Fact Sheet 2013-09,54.5,%Zn,0.6040917431192661
33,Brown's-Brown's East,Australia,Sediment-hosted polymetallic,,C,HNC Australia Resources,NT DME Fact Sheet 2013-09,54.5,g/t Ag,12.143120567375886
33,Brown's-Brown's East,Australia,Sediment-hosted polymetallic,,C,HNC Australia Resources,NT DME Fact Sheet 2013-09,54.5,%Cu,0.4310642201834863
33,Brown's-Brown's East,Australia,Sediment-hosted polymetallic,,C,HNC Australia Resources,NT DME Fact Sheet 2013-09,54.5,%Ni,0.08207339449541286
33,Brown's-Brown's East,Australia,Sediment-hosted polymetallic,,C,HNC Australia Resources,NT DME Fact Sheet 2013-09,54.5,%Co,0.09862385321100918
34,Bulman,Australia,Sediment-hosted Pb-Zn,Sedex,C,Admiralty Resources,NT DME Fact Sheet 2013-09,1,%Pb,6.5
34,Bulman,Australia,Sediment-hosted Pb-Zn,Sedex,C,Admiralty Resources,NT DME Fact Sheet 2013-09,1,%Zn,11.0
36,Burnside-Iron Blow,Australia,VMS,,C,Crocodile Gold,Tech Rep (2013-07),3.175,%Pb,0.76
36,Burnside-Iron Blow,Australia,VMS,,C,Crocodile Gold,Tech Rep (2013-07),3.175,%Zn,3.3
36,Burnside-Iron Blow,Australia,VMS,,C,Crocodile Gold,Tech Rep (2013-07),3.175,g/t Ag,101.0
36,Burnside-Iron Blow,Australia,VMS,,C,Crocodile Gold,Tech Rep (2013-07),3.175,%Cu,0.19
36,Burnside-Iron Blow,Australia,VMS,,C,Crocodile Gold,Tech Rep (2013-07),3.175,g/t Au,2.1
37,Cannington,Australia,Sediment-hosted Pb-Zn,Sedex,C,BHP Billiton,Ann Rep 2013,96.3,%Pb,4.865659397715473
37,Cannington,Australia,Sediment-hosted Pb-Zn,Sedex,C,BHP Billiton,Ann Rep 2013,96.3,%Zn,2.9767912772585667
37,Cannington,Australia,Sediment-hosted Pb-Zn,Sedex,C,BHP Billiton,Ann Rep 2013,96.3,g/t Ag,163.6957424714434
38,Carboona,Australia,Epithermal,Low sulfidation?,C,unknown,Aust Mines Atlas (2013-10-01),0.03495,%Pb,6.2
38,Carboona,Australia,Epithermal,Low sulfidation?,C,unknown,Aust Mines Atlas (2013-10-01),0.03495,%Zn,1.37
39,Century-Century East,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,17.6,%Pb,10.059090909090909
39,Century-Century East,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,17.6,%Zn,1.4846590909090907
39,Century-Century East,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,17.6,g/t Ag,37.28409090909091
40,Chakola-Harnett Central,Australia,VMS,,C,Capital Mining,Ann Rep 2011,1.22,%Pb,0.4
40,Chakola-Harnett Central,Australia,VMS,,C,Capital Mining,Ann Rep 2011,1.22,%Zn,0.7
40,Chakola-Harnett Central,Australia,VMS,,C,Capital Mining,Ann Rep 2011,1.22,g/t Ag,8.1
40,Chakola-Harnett Central,Australia,VMS,,C,Capital Mining,Ann Rep 2011,1.22,%Cu,0.5
40,Chakola-Harnett Central,Australia,VMS,,C,Capital Mining,Ann Rep 2011,1.22,g/t Au,0.8
41,Comstock (Australia),Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),3.061798,%Pb,2.1
41,Comstock (Australia),Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),3.061798,%Zn,1.48
41,Comstock (Australia),Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),3.061798,g/t Ag,45.7
42,Conrad-King Conrad-Greisen,Australia,Skarn,,C,Malachite Resources,Ann Rep 2009,3.1304010000000004,%Pb,1.2571781378807376
42,Conrad-King Conrad-Greisen,Australia,Skarn,,C,Malachite Resources,Ann Rep 2009,3.1304010000000004,%Zn,0.5637470502980289
42,Conrad-King Conrad-Greisen,Australia,Skarn,,C,Malachite Resources,Ann Rep 2009,3.1304010000000004,g/t Ag,95.44283617338483
42,Conrad-King Conrad-Greisen,Australia,Skarn,,C,Malachite Resources,Ann Rep 2009,3.1304010000000004,%Cu,0.17848237015002227
42,Conrad-King Conrad-Greisen,Australia,Skarn,,C,Malachite Resources,Ann Rep 2009,3.1304010000000004,%Sn,0.21094990066767802
42,Conrad-King Conrad-Greisen,Australia,Skarn,,C,Malachite Resources,Ann Rep 2009,3.1304010000000004,g/t In,5.745757332686771
43,Coxco,Australia,Sediment-hosted Pb-Zn,Sedex,C,Admiralty Resources,NT DME Fact Sheet 2013-09,7.8,%Pb,1.0
43,Coxco,Australia,Sediment-hosted Pb-Zn,Sedex,C,Admiralty Resources,NT DME Fact Sheet 2013-09,7.8,%Zn,4.2
44,Daly River Anomaly A,Australia,VMS,,NC,Troy Resources,Ann Rep 2007,0.762,%Pb,0.3
44,Daly River Anomaly A,Australia,VMS,,NC,Troy Resources,Ann Rep 2007,0.762,%Zn,9.99
44,Daly River Anomaly A,Australia,VMS,,NC,Troy Resources,Ann Rep 2007,0.762,g/t Ag,14.5
44,Daly River Anomaly A,Australia,VMS,,NC,Troy Resources,Ann Rep 2007,0.762,%Cu,1.77
45,Develin Creek-Rookwood,Australia,VMS,,C,Fitzroy Resources,Ann Rep 2011,1.75,%Zn,2.05
45,Develin Creek-Rookwood,Australia,VMS,,C,Fitzroy Resources,Ann Rep 2011,1.75,g/t Ag,8.5
45,Develin Creek-Rookwood,Australia,VMS,,C,Fitzroy Resources,Ann Rep 2011,1.75,%Cu,1.71
45,Develin Creek-Rookwood,Australia,VMS,,C,Fitzroy Resources,Ann Rep 2011,1.75,g/t Au,0.24
46,Djibigan (Manbarrum),Australia,Sediment-hosted Pb-Zn?,Sedex?,C,TNG Ltd (sold to Legacy Iron late 2013),Ann Rep 2012,19.93,%Pb,0.2
46,Djibigan (Manbarrum),Australia,Sediment-hosted Pb-Zn?,Sedex?,C,TNG Ltd (sold to Legacy Iron late 2013),Ann Rep 2012,19.93,%Zn,0.5
46,Djibigan (Manbarrum),Australia,Sediment-hosted Pb-Zn?,Sedex?,C,TNG Ltd (sold to Legacy Iron late 2013),Ann Rep 2012,19.93,g/t Ag,16.4
47,Dugald River,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,63,%Pb,1.8079365079365077
47,Dugald River,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,63,%Zn,12.095238095238095
47,Dugald River,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,63,g/t Ag,31.523809523809526
48,Eastman,Australia,VMS,,C,Massive Resources Pty Ltd,Minedex (2013-05-05),3.4,%Pb,0.647
48,Eastman,Australia,VMS,,C,Massive Resources Pty Ltd,Minedex (2013-05-05),3.4,%Zn,1.697
48,Eastman,Australia,VMS,,C,Massive Resources Pty Ltd,Minedex (2013-05-05),3.4,g/t Ag,14.0
48,Eastman,Australia,VMS,,C,Massive Resources Pty Ltd,Minedex (2013-05-05),3.4,%Cu,0.656
48,Eastman,Australia,VMS,,C,Massive Resources Pty Ltd,Minedex (2013-05-05),3.4,g/t Au,0.022
49,Ediacara,Australia,Sediment-hosted Pb-Zn,,C,unknown,SA DMITRE Website (2014-12-15),17,%Pb,1.2
49,Ediacara,Australia,Sediment-hosted Pb-Zn,,C,unknown,SA DMITRE Website (2014-12-15),17,g/t Ag,10.0
50,Emull-Lamboo,Australia,VMS,,C,Northern Star Resources,Minedex (2013-05-05),4.7,%Pb,0.2
50,Emull-Lamboo,Australia,VMS,,C,Northern Star Resources,Minedex (2013-05-05),4.7,%Zn,4.5
50,Emull-Lamboo,Australia,VMS,,C,Northern Star Resources,Minedex (2013-05-05),4.7,g/t Ag,19.0
50,Emull-Lamboo,Australia,VMS,,C,Northern Star Resources,Minedex (2013-05-05),4.7,%Cu,0.33
51,Endeavour (Elura),Australia,VMS,,C,Toho Zinc,Tech Rep (2013-04) (Couer Mining),17.4,%Pb,4.93448275862069
51,Endeavour (Elura),Australia,VMS,,C,Toho Zinc,Tech Rep (2013-04) (Couer Mining),17.4,%Zn,7.7603448275862075
51,Endeavour (Elura),Australia,VMS,,C,Toho Zinc,Tech Rep (2013-04) (Couer Mining),17.4,g/t Ag,73.58045977011496
51,Endeavour (Elura),Australia,VMS,,C,Toho Zinc,Tech Rep (2013-04) (Couer Mining),17.4,%Cu,0.18
52,Evelyn,Australia,Skarn,,NC,Crocodile Gold,Ann Info Form 2013,0.00742,%Pb,6.7
52,Evelyn,Australia,Skarn,,NC,Crocodile Gold,Ann Info Form 2013,0.00742,%Zn,3.7
52,Evelyn,Australia,Skarn,,NC,Crocodile Gold,Ann Info Form 2013,0.00742,g/t Ag,343.0
53,Explorer 108,Australia,Sediment-hosted Pb-Zn,Sedex,C,Westgold Resources (now Metals-X),Ann Rep 2013,11.868,%Pb,2.0
53,Explorer 108,Australia,Sediment-hosted Pb-Zn,Sedex,C,Westgold Resources (now Metals-X),Ann Rep 2013,11.868,%Zn,3.24
53,Explorer 108,Australia,Sediment-hosted Pb-Zn,Sedex,C,Westgold Resources (now Metals-X),Ann Rep 2013,11.868,g/t Ag,11.14
53,Explorer 108,Australia,Sediment-hosted Pb-Zn,Sedex,C,Westgold Resources (now Metals-X),Ann Rep 2013,11.868,%Cu,0.1
53,Explorer 108,Australia,Sediment-hosted Pb-Zn,Sedex,C,Westgold Resources (now Metals-X),Ann Rep 2013,11.868,g/t Au,0.3
54,Federation,Australia,Skarn,,C,unknown,Ann Rep 2009,0.562,%Zn,1.4
54,Federation,Australia,Skarn,,C,unknown,Ann Rep 2009,0.562,g/t Ag,36.4
54,Federation,Australia,Skarn,,C,unknown,Ann Rep 2009,0.562,%Sn,0.5
55,Flinders Group,Australia,Sediment-hosted Pb-Zn,MVT,C,Perilya Mines,Ann Rep 2011,0.694,%Pb,1.4
55,Flinders Group,Australia,Sediment-hosted Pb-Zn,MVT,C,Perilya Mines,Ann Rep 2011,0.694,%Zn,30.2
56,Fossey-Fossey East,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.425,%Pb,6.258823529411764
56,Fossey-Fossey East,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.425,%Zn,11.352941176470589
56,Fossey-Fossey East,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.425,g/t Ag,112.29411764705883
56,Fossey-Fossey East,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.425,%Cu,0.4882352941176471
56,Fossey-Fossey East,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.425,g/t Au,2.2705882352941176
57,Golden Grove,Australia,VMS,,C,MMG,Ann Rep 2013,26.1,%Pb,0.28505747126436776
57,Golden Grove,Australia,VMS,,C,MMG,Ann Rep 2013,26.1,%Zn,3.855172413793103
57,Golden Grove,Australia,VMS,,C,MMG,Ann Rep 2013,26.1,g/t Ag,35.22222222222222
57,Golden Grove,Australia,VMS,,C,MMG,Ann Rep 2013,26.1,%Cu,2.2329501915708816
57,Golden Grove,Australia,VMS,,C,MMG,Ann Rep 2013,26.1,g/t Au,0.6609195402298849
58,Gossan Dam-Bonnie Rock,Australia,Skarn,Epithermal?,C,unknown,Minedex (2013-05-05),0.45,%Pb,1.5
58,Gossan Dam-Bonnie Rock,Australia,Skarn,Epithermal?,C,unknown,Minedex (2013-05-05),0.45,%Zn,1.25
58,Gossan Dam-Bonnie Rock,Australia,Skarn,Epithermal?,C,unknown,Minedex (2013-05-05),0.45,g/t Ag,100.0
59,Grants Creek-Wilsons Reef,Australia,Orogenic Au,,C,Firestrike Resources,Minedex (2013-05-05),0.067,%Pb,0.73
59,Grants Creek-Wilsons Reef,Australia,Orogenic Au,,C,Firestrike Resources,Minedex (2013-05-05),0.067,%Zn,0.25
59,Grants Creek-Wilsons Reef,Australia,Orogenic Au,,C,Firestrike Resources,Minedex (2013-05-05),0.067,g/t Ag,16.0
59,Grants Creek-Wilsons Reef,Australia,Orogenic Au,,C,Firestrike Resources,Minedex (2013-05-05),0.067,g/t Au,4.97
60,Grieves Quarry,Australia,VMS,,C,Icon Resources,Website (2013-03-24),0.2,%Zn,5.0
61,Hellyer Remnants,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.75,%Pb,4.132000000000001
61,Hellyer Remnants,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.75,%Zn,6.990666666666667
61,Hellyer Remnants,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.75,g/t Ag,104.06666666666668
61,Hellyer Remnants,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.75,%Cu,0.3706666666666667
61,Hellyer Remnants,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.75,g/t Au,1.3293333333333335
62,Hellyer Tailings,Australia,VMS Tailings,VMS Tailings,TC,Ivy Resources,Ann Rep 2011 (Bass Metals),9.5,%Pb,3.0
62,Hellyer Tailings,Australia,VMS Tailings,VMS Tailings,TC,Ivy Resources,Ann Rep 2011 (Bass Metals),9.5,%Zn,2.5
62,Hellyer Tailings,Australia,VMS Tailings,VMS Tailings,TC,Ivy Resources,Ann Rep 2011 (Bass Metals),9.5,g/t Ag,104.0
62,Hellyer Tailings,Australia,VMS Tailings,VMS Tailings,TC,Ivy Resources,Ann Rep 2011 (Bass Metals),9.5,%Cu,0.2
62,Hellyer Tailings,Australia,VMS Tailings,VMS Tailings,TC,Ivy Resources,Ann Rep 2011 (Bass Metals),9.5,g/t Au,2.6
63,Hera,Australia,Sediment-hosted Pb-Zn,Sedex,C,YTC Resources,Ann Rep 2013,2.444,%Pb,2.8
63,Hera,Australia,Sediment-hosted Pb-Zn,Sedex,C,YTC Resources,Ann Rep 2013,2.444,%Zn,3.8
63,Hera,Australia,Sediment-hosted Pb-Zn,Sedex,C,YTC Resources,Ann Rep 2013,2.444,g/t Ag,16.7
63,Hera,Australia,Sediment-hosted Pb-Zn,Sedex,C,YTC Resources,Ann Rep 2013,2.444,%Cu,0.2
63,Hera,Australia,Sediment-hosted Pb-Zn,Sedex,C,YTC Resources,Ann Rep 2013,2.444,g/t Au,4.1
64,Higgs,Australia,VMS,,C,Frontier Resources (?),Aust Mines Atlas (2013-10-01),0.215,%Pb,1.5
64,Higgs,Australia,VMS,,C,Frontier Resources (?),Aust Mines Atlas (2013-10-01),0.215,%Zn,1.3
64,Higgs,Australia,VMS,,C,Frontier Resources (?),Aust Mines Atlas (2013-10-01),0.215,g/t Ag,23.0
64,Higgs,Australia,VMS,,C,Frontier Resources (?),Aust Mines Atlas (2013-10-01),0.215,g/t Au,3.5
65,Jackson-Stella-Chloe Trend,Australia,Sediment-hosted Pb-Zn,Sedex,C,Kagara (?),Ann Rep 2011 (Copper Strike),4.7,%Pb,2.0170212765957447
65,Jackson-Stella-Chloe Trend,Australia,Sediment-hosted Pb-Zn,Sedex,C,Kagara (?),Ann Rep 2011 (Copper Strike),4.7,%Zn,4.81063829787234
65,Jackson-Stella-Chloe Trend,Australia,Sediment-hosted Pb-Zn,Sedex,C,Kagara (?),Ann Rep 2011 (Copper Strike),4.7,g/t Ag,48.106382978723396
65,Jackson-Stella-Chloe Trend,Australia,Sediment-hosted Pb-Zn,Sedex,C,Kagara (?),Ann Rep 2011 (Copper Strike),4.7,%Cu,0.2
66,Jaguar,Australia,VMS,,C,Independence Group,Ann Rep 2013,0.475,%Zn,2.8
66,Jaguar,Australia,VMS,,C,Independence Group,Ann Rep 2013,0.475,g/t Ag,39.0
66,Jaguar,Australia,VMS,,C,Independence Group,Ann Rep 2013,0.475,%Cu,2.2
67,Jervois Group,Australia,VMS,Possibly Sedex,C,KGL-Kentor Gold,Ann Rep 2011,1,%Pb,2.58
67,Jervois Group,Australia,VMS,Possibly Sedex,C,KGL-Kentor Gold,Ann Rep 2011,1,%Zn,2.21
67,Jervois Group,Australia,VMS,Possibly Sedex,C,KGL-Kentor Gold,Ann Rep 2011,1,g/t Ag,73.2
67,Jervois Group,Australia,VMS,Possibly Sedex,C,KGL-Kentor Gold,Ann Rep 2011,1,%Cu,0.89
68,Kamarga-JB,Australia,Sediment-hosted Pb-Zn,MVT,C,RMG,Ann Rep 2013,10.4,%Pb,0.2
