Country,Project,Location,,Company,Mineral Resources (including reserves),,,,,,Source,Mineral,Mineral,Mineral,Mineral
Australia,Sconi South-Lucknow,,,Australian Mines,1.7,0.45,10.6,0.27,1.5,0.4,media 21 Oct. 2013,Laterite,Oxide,Oxide,
Australia,Munglinup-Boanaernup (Young River),,,UltraCharge,0,,0,,1,1,WA MINEDEX,Laterite,Oxide,Oxide?,
Australia,Owendale,,,Platina Resources,7.8,0.13,12.5,0.11,15.3,0.08,AR 2018,Laterite,Oxide,Oxide,
Australia,Coglia-Mineral Patch Hill,,,White Cliff Minerals,0,,0,,7.5,0.8,WA MINEDEX,Laterite,Oxide,,
Australia,Julia (Goblin / Leprechaun),,,Wingstar Investments (?),0,,4.82,0.8,21.108,0.73,WA MINEDEX,Laterite,Oxide,,
Australia,Quicksilver,,,Golden Mile Resources,0,,4.4,0.72,21.9,0.63,media 19 Nov 2018,Laterite,Oxide,,
Australia,Lawlers,,,Gold Fields,0,,178,0.64,34,0.6,WA MINEDEX,Laterite,Oxide,Oxide,
Australia,Marshall Pool,,,unknown,137,0.7,168,0.68,0,,WA MINEDEX,Laterite,Oxide,Oxide,
Australia,Camelback Bore East,,,Glencore,0,,0,,4.65,0.98,WA MINEDEX,Laterite,Oxide,Oxide,
Australia,Black Hills-North Monger,,,"Western Resources, Zetek Resources",0,,0,,30,0.64,WA MINEDEX,Laterite,Oxide,Oxide,
Australia,KNP West-Goongarrie: Goongarrie Hill,,,Ardea Resources,0,,0,,53.6,0.6,AR 2018,Laterite,Oxide-Clay silicate,Oxide-hydrous Mg silicate,
Australia,KNP West-Siberia: Siberia South,,,Ardea Resources,0,,0,,96.5,0.65,AR 2018,Laterite,Oxide-Clay silicate,Oxide-hydrous Mg silicate,
Australia,KNP West-Siberia: Siberia North,,,Ardea Resources,0,,10,0.64,53.3,0.65,AR 2018,Laterite,Oxide-Clay silicate,Oxide-hydrous Mg silicate,
Australia,KNP West-Siberia: Black Range,,,Ardea Resources,0,,0,,20.1,0.75,AR 2018,Laterite,Oxide-Clay silicate,Oxide-hydrous Mg silicate,
Australia,KNP West-Goongarrie: Ghost Rocks,,,Ardea Resources,0,,0,,47.3,0.66,AR 2018,Laterite,Oxide-Clay silicate,Oxide-hydrous Mg silicate,
Australia,Honeymoon Well Group (laterite),,,Norilsk Nickel,0,,0,,339,0.81,AR 2018,Laterite,Oxide-Clay Silicate,Oxide-Clay Silicate,
Australia,Nico Young-Ardnaree,,,Jervois Mining,0,,0,,53.6,0.66,media 20 Nov. 2017,Laterite,Oxide-clay silicate,,
Australia,Nico Young-Thuddungra,,,Jervois Mining,0,,0,,114.3,0.56,media 20 Nov. 2017,Laterite,Oxide-clay silicate,,
Australia,KNP Yerilla: Jump-Up Dam,,,Ardea Resources,3.8,0.94,41.6,0.78,18.4,0.63,AR 2018,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,KNP Yerilla: Boyce Creek,,,Ardea Resources,0,,26.8,0.77,0,,AR 2018,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,KNP Yerilla: Aubils,,,Ardea Resources,0,,0,,49.4,0.7,AR 2018,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,Wilconi (Wiluna),,,A-Cap Resources,0,,0,,80.5,0.77,WA MINEDEX,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,Nyngan-West Lynn,,,Alchemy Resources,0,,0,,14.7,0.85,media 29 Feb 2019,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,Nyngan-Summervale,,,Alchemy Resources,0,,0,,6.64,0.82,media 29 Feb 2019,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,Waite Kauri North / Extended,,,unclear,0,,0,,3.917,1.04,WA MINEDEX,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,Riverina-Martins,,,Carnegie Gold,0,,2.2,1.01,0,,WA MINEDEX,Laterite,Oxide-Clay silicate,Oxide-clay silicate,
Australia,Waite Kauri-Eagle Eye,,,Golden Mile Resources,0,,0,,2.53,0.7,WA MINEDEX,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,Lady Byron,,,Australian Jade Mining,0,,0,,2.8,1.11,WA MINEDEX,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,Collerina-Homeville,,,Alpha HPA,0,,2.2,0.97,18.8,0.84,AR 2018,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,Jimberlana-Bronzite Ridge,,,Thousand Island Resources,0,,0,,4.31,1.02,WA MINEDEX,Laterite,Oxide-clay silicate,Oxide-clay silicate,
Australia,Weld Range (Ni-Cr),,,Podium Metals,0,,0,,63.5,0.38,WA MINEDEX,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Australia,Weld Range (laterite),,,Podium Metals,0,,0,,330,0.75,WA MINEDEX,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Australia,Sunrise-Syerston,,,CleanTeq Holdings,68.8,0.63,93.9,0.47,20.6,0.23,media 25 June 2018,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Australia,Sconi South-Greenvale,,,Australian Mines,5.4,0.77,10.5,0.71,11.5,0.43,media 21 Oct. 2013,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,
Australia,Leinster,,,BHP Group,23,1.61,88,0.67,100.4,0.65,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Mount Keith,,,BHP Group,151,0.54,67,0.52,24,0.52,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Cliffs,,,BHP Group,0.87,3.4,5.1,1.6,3.52,1.4,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Yakabindie,,,BHP Group,156,0.59,113,0.62,171,0.61,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Venus,,,BHP Group,0,,0.47,2.4,6.9,2.6,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Jericho,,,BHP Group,0,,0,,31,0.59,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Honeymoon Well Group (sulfide),,,Norilsk Nickel,0,,173.3,0.68,11.9,0.68,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Thunderbox-Waterloo / Amorac,,,Saracen Mineral Holdings,0,,0,,0.68,2.1,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Kambalda-Blair,,,Pioneer Resources,0,,0.076,4.37,0.15,2.18,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Cosmos Group,,,Western Areas,0,,9.476,2.5,0.926,3.6,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Mount Goode,,,Western Areas,13.563,0.8,27.363,0.6,12.009,0.5,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Kambalda-Mincor Group,,,Mincor Resources,0.269,3.7,2.753,3.5,0.726,3.8,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Kambalda-Lanfranchi Group,,,Panoramic Resources,0.18,3.74,2.517,1.73,2.956,1.52,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Kambalda-Beta Hunt Group,,,RNC Minerals,0.096,4.6,0.283,4,0.216,3.4,AIF 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Spotted Quoll-Beautiful Sunday,,,Western Areas,0.368,5.9,1.802,4.7,0.181,5.6,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Diggers,,,Western Areas,0,,8.415,1,1.613,0.7,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Kambalda-Independence Group,,,Independence Group,0,,0.4,4.01,0.35,4.4,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Flying Fox-Lounge Lizard,,,Western Areas,0,,6.145,1.9,0.691,1.7,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Windarra Group,,,Poseidon Nickel,0,,4.467,1.27,5.214,1.75,QR 2018-12,Magmatic Sulphide,Archean Komatiite,,
Australia,Radio Hill,,,Artemis Resources,0,,1.98,0.61,2.04,0.42,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Black Swan-Silver Swan,,,Poseidon Nickel,0,,9.652,0.73,21.184,0.57,QR 2018-12,Magmatic Sulphide,Archean Komatiite,,
Australia,Lake Johnston-Maggie Hays,,,Poseidon Nickel,0,,2.6,1.6,0.9,1.17,QR 2018-12,Magmatic Sulphide,Archean Komatiite,,
Australia,New Morning-Daybreak,,,Western Areas,0,,3.659,1.4,2.575,1.4,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Nepean,,,Focus Minerals,0,,0,,0.591,2.2,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Cosmic Boy-Seagull,,,Western Areas,0,,0.376,2.4,0,,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Wildara-The Horn,,,Minotaur Exploration,0,,0,,0.6,1.39,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Scotia Group,,,Minotaur Exploration,0,,0,,0.221,3,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Saints,,,Minotaur Exploration,0,,0,,1.05,2,media 4 May 2017,Magmatic Sulphide,Archean Komatiite,,
Australia,Munda,,,Estrella Resources,0,,0,,0.24,2.36,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Miriam,,,Focus Minerals,0,,0,,0.227,1.7,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Snake Hill-Cullens,,,Mt Ida Gold,0,,0,,0.35,0.9,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Kambalda-Spargoville,,,Estrella Resources,0,,0.129,2.4,0.217,2.4,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Mount Jewell-GSP,,,Capital Mining,0,,0,,0.086,2,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,RAV 1-4-5-8,,,Australasian Mining,0,,0,,1.71,1,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Fisher East,,,Rox Resources,0,,3.74,1.9,0.42,1.5,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Collurabbie-Olympia,,,Rox Resources,0,,0,,0.573,1.63,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Kambalda-Mount Edwards/Armstrong Group,,,Neometals,0,,2.58,2,4.805,1.5,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Ruth Well,,,Artemis Resources,0,,0.06,0.99,0.09,1.05,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Duketon-Rosie,,,Duketon Mining,0,,1.41,1.7,0.53,1.6,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Duketon-C2,,,Duketon Mining,0,,0,,5.722,0.7,AR 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Kambalda-Foster/Jan/Fisher,,,Gold Fields,0,,0.579,2.21,0.409,3,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Goodyear,,,unknown,0,,0,,0.39,3.78,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Mount Day-Cat Camp,,,Matsa Resources,0,,0,,2.23,0.52,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Sinclair,,,Talisman Mining,0,,0.25,2.4,0.46,2.2,media 31 Aug 2018,Magmatic Sulphide,Archean Komatiite,,
Australia,Wildcatters,,,BHP Group,0,,0.08,3.5,0,,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Carr Boyd,,,Estrella Resources,0,,0.576,1.4,0.025,1.6,WA MINEDEX,Magmatic Sulphide,Archean Komatiite,,
Australia,Melba Flats (North Cuni-Genets),,,Dundas Mining?,0,,0,,0.094,0.8,AR 2006,Magmatic Sulphide,Intrusion-related,,
Australia,Weld Range (PGEs)-Parks Reef (Central-Western),,,Podium Metals,0,,0,,30.2,0.1,media 5 March 2019,Magmatic Sulphide,Layered Intrusive,,
Australia,Pardoo-Highway,,,Caeneus Minerals,0,,0,,50,0.3,WA MINEDEX,Magmatic Sulphide,Layered Intrusive,,
Australia,Savannah-Copernicus,,,Panoramic Resources,2.055,1.56,8.052,1.72,3.105,1.53,AR 2018,Magmatic Sulphide,Layered Intrusive,,
Australia,Panton,,,Panoramic Resources,6.53,0.25,5.63,0.28,2.16,0.31,AR 2018,Magmatic Sulphide,Layered Intrusive,,
Australia,Munni Munni,,,Artemis Resources; Platina Resources,12.4,0.07,9.8,0.11,1.4,0.09,AR 2016,Magmatic Sulphide,Layered Intrusive,,
Australia,Byro East,,,Athena Resources,0,,0,,0.1,1.4,WA MINEDEX,Magmatic Sulphide,Layered Intrusive,,
Australia,Gabanintha (Ni-Co-Cu zone only),,,Australian Vanadium,0,,0,,14.3,0.067,media 28 Nov 2018,Magmatic Sulphide,Layered Intrusive,,Fe-Ti-V Magnetite
Australia,Mount Sholl,,,Welcome Exploration,0,,1.983,0.53,3.17,0.45,WA MINEDEX,Magmatic Sulphide,Layered Intrusive,,
Australia,Nova-Bollinger,,,Independence Group,12,2.15,1.1,0.88,0.1,0.6,AR 2018,Magmatic Sulphide,Proterozoic Komatiite,,
Australia,Cookes Creek-Anomaly Hill,,,Cuvier Resources,0,,0,,0.478,0.9,WA MINEDEX,Magmatic Sulphide,Proterozoic Komatiite,,
Australia,Keller Creek-Eskimo Knoll,,,Panoramic Resources,0,,0,,0.156,2.32,WA MINEDEX,Magmatic Sulphide,Proterozoic Komatiite,,
Australia,Corkwood,,,Sayona Mining,0,,0,,0.225,0.65,WA MINEDEX,Magmatic Sulphide,Proterozoic Komatiite,,
Australia,Trough Well,,,Kym Anthony McClaren,0,,0,,0.02,2.7,WA MINEDEX,Magmatic Sulphide,Proterozoic Komatiite,,
Australia,Mount Thirsty-Mission Sill,,,Galileo Mining,0,,15.7,0.6,13.3,0.47,AR 2018,Magmatic Sulphide,Proterozoic Komatiite,,
Australia,Silver Knight,,,Great Southern Nickel,0,,3.9,0.8,0.4,0.6,WA MINEDEX,Magmatic Sulphide,Proterozoic Komatiite,,
Australia,Brown's-Brown's East,,,China Minmetals,10.1,0.1,22.7,0.09,26.7,0.09,QR 2008-06,Magmatic Sulphide,Sediment-hosted polymetallic,,
Australia,Area 55,,,China Minmetals,0,,12.2,0.2,0,,AR 2007,Magmatic Sulphide,Sediment-hosted polymetallic,,
Australia,West Musgrave-Nebo,,,"Cassini Resources, OZ Minerals",0,,37.8,0.49,1.9,0.37,AR 2018,Magmatic Sulphide,Small M-UM Intrusion-related,,
Australia,West Musgrave-Babel,,,"Cassini Resources, OZ Minerals",0,,73.9,0.36,169.4,0.33,AR 2018,Magmatic Sulphide,Small M-UM Intrusion-related,,
Australia,Prospect D-Barrow Creek,,,Kidman Resources,0,,0,,3.164,0.2,website (2016-05-25),Magmatic Sulphide,Small M-UM Intrusion-related,,
Australia,Mt Keith Tailings,,,Jubilee Metals Group (?),0,,0,,101.984,0.21,WA MINEDEX,Tailings,Magmatic Sulphide,Archean Komatiite,
Australia,Kambalda Tailings,,,Jubilee Metals Group (?),0,,0,,32.64,0.41,WA MINEDEX,Tailings,Magmatic Sulphide,Archean Komatiite,
Australia,Leinster Tailings,,,Jubilee Metals Group (?),3.16,0.6,0,,26.45,0.44,WA MINEDEX,Tailings,Magmatic Sulphide,Archean Komatiite,
Australia,Mulga Rock East (base metals),,,Vimy Resources,0,,21.1,0.062,12.9,0.025,AR 2016,Hydrothermal Ni,Unconformity-related Uranium,,
Botswana,Tati-Selkirk,,,Norilsk Nickel,0,,124,0.23,11.3,0.27,AR 2014,Magmatic Sulphide,Layered Intrusive,,
Botswana,Dikoloti,,,unknown,0,,0,,4.1,0.7,AR 2008,Magmatic Sulphide,Small M-UM Intrusion-related,,
Botswana,Tati-Phoenix,,,Norilsk Nickel,0,,106,0.21,0,,AR 2014,Magmatic Sulphide,Small M-UM Intrusion-related,,
Botswana,Phikwe,,,BCL,0,,0,,37.2,0.46,website (9 Jan 2013),Magmatic Sulphide,Small M-UM Intrusion-related,,
Botswana,SE Extension,,,BCL,0,,0,,4.47,1.47,website (9 Jan 2013),Magmatic Sulphide,Small M-UM Intrusion-related,,
Botswana,Selebi,,,BCL,0,,0,,26.75,0.79,website (9 Jan 2013),Magmatic Sulphide,Small M-UM Intrusion-related,,
Botswana,Selebi Central,,,BCL,0,,0,,19.51,0.68,website (9 Jan 2013),Magmatic Sulphide,Small M-UM Intrusion-related,,
Botswana,Selebi North,,,BCL,0,,0,,5.95,1.09,website (9 Jan 2013),Magmatic Sulphide,Small M-UM Intrusion-related,,
Brazil,Jaguar-Onca Rosa,,,Centaurus Metals,19,0.79,21.4,0.77,0,,media (6 Aug 2019),Hydrothermal Ni,IOCG,,
Brazil,Ipanema,,,unknown,0,,0,,4,1.2,Berger et al (2011),Laterite,Clay silicate,,
Brazil,Piauí (São João do Piauí),,,Brazilian Nickel,52.887,1.03,19.324,0.92,0,,Fact Sheet (2018),Laterite,Clay silicate-hydrous Mg silicate,Clay silicate-hydrous Mg silicate,
Brazil,Morro de Engenho,,,unknown,0,,0,,38.6,1.1,Berger et al (2011),Laterite,Hydrous Mg silicate,Hydrous Mg silicate,
Brazil,Santa Fé-Iporá,,,unknown,0,,0,,61,1.5,Berger et al (2011),Laterite,Hydrous Mg silicate,Hydrous Mg silicate,
Brazil,Barro Alto,,,Anglo American,14.4,1.41,49.6,1.24,17.5,1.27,ResV-ResC 2018,Laterite,Hydrous Mg silicate-clay silicate,Hydrous Mg silicate-clay silicate,
Brazil,Niquelândia-Codemin,,,Anglo American,0,,9.9,1.26,5.3,1.21,ResV-ResC 2018,Laterite,Hydrous Mg silicate-clay silicate-oxide,Hydrous Mg silicate-clay silicate-oxide,
Brazil,Jacupiranga,,,unknown,0,,0,,13,1.4,Berger et al (2011),Laterite,Hydrous Mg silicate-clay silicate-oxide,,
Brazil,Araguaia North / South,,,Horizonte Minerals,18.168,1.44,101.2,1.25,12.92,1.19,Tech Rep (2018-12),Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,
Brazil,Serra do Tapa,,,Horizonte Minerals,14.296,1.31,55.971,1.2,2.68,1.14,Tech Rep (2019-09),Laterite,Hydrous Mg silicate-oxide,,
Brazil,Onça Puma,,,Vale,60.7,1.66,53.1,1.38,0,,Form 20F 2018,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,
Brazil,Morro de Niquel,,,unknown,0,,0,,24.1,1.3,Berger et al (2011),Laterite,Hydrous Mg silicate-oxide,,
Brazil,Água Branca,,,unknown,0,,0,,4.531,1.4,Radaelli (2000),Laterite,Hydrous Mg silicate-oxide,,
Brazil,Diorama,,,unknown,0,,0,,11.104,1.33,Radaelli (2000),Laterite,Hydrous Mg silicate-oxide,,
Brazil,Tira Pressa,,,unknown,0,,0,,45.602,1.55,Radaelli (2000),Laterite,Hydrous Mg silicate-oxide,,
Brazil,Montes Claros,,,unknown,0,,0,,49.966,1.26,Radaelli (2000),Laterite,Hydrous Mg silicate-oxide,,
